Player,Team,MPG,True Usage,Shot Usage,Assist Usage,Turnover Usage,True TO%,Time of Possession%,Shot/Touch %,% Touches Ending Possession
Andrew Bogut,GSW,23.6,0.254259597806216,0.113796465569775,0.108165752589884,0.032297379646557,0.12702521330649,0.051063829787234,0.233235496159371,0.299431711734216
Marvin Williams,CHA,26.1,0.201644105340881,0.131252768889983,0.0556239232094511,0.0147674132414472,0.0732350356410507,0.0344827586206897,0.275682382133995,0.306699751861042
Chris Paul,LAC,34.8,0.544633431085044,0.226192858375022,0.285664999137485,0.0327755735725375,0.0601791438091498,0.223495702005731,0.197905095387588,0.226581743540208
Raymond Felton,DAL,9.7,0.406643356643357,0.196853146853147,0.178321678321678,0.0314685314685315,0.0773860705073087,0.154639175257732,0.228397565922921,0.264908722109533
Martell Webster,WAS,11,0.247068723702665,0.167124824684432,0.0490883590462833,0.0308555399719495,0.12488646684832,0.0363636363636364,0.335472972972973,0.39740990990991
Charlie Villanueva,DAL,10.6,0.314022662889518,0.26728045325779,0.0269121813031161,0.0198300283286119,0.063148398737032,0.0377358490566038,0.536079545454545,0.575852272727273
Channing Frye,ORL,24.9,0.202255033557047,0.134872483221476,0.0464429530201342,0.0209395973154362,0.103530661003451,0.0321285140562249,0.283841807909605,0.327909604519774
Deron Williams,BKN,31.1,0.466723932235743,0.209267477928895,0.220711047482701,0.036745406824147,0.0787304963088689,0.209003215434084,0.194241672572643,0.22834868887314
Danny Granger,MIA,20.4,0.221312607944732,0.153955094991364,0.0466321243523316,0.0207253886010363,0.0936475729670673,0.0294117647058824,0.364580777096115,0.413660531697342
Gerald Green,PHX,19.5,0.375645756457565,0.27869842334787,0.062059711506206,0.0348876216034888,0.0928737274513306,0.0663265306122449,0.47774583093732,0.537550316273721
Nate Robinson,DEN,14.1,0.427234042553192,0.235744680851064,0.168085106382979,0.0234042553191489,0.0547808764940239,0.163120567375887,0.262310606060606,0.288352272727273
Jarrett Jack,BKN,28,0.432332584269663,0.206040449438202,0.183370786516854,0.0429213483146067,0.099278541281161,0.188612099644128,0.20687725631769,0.249972924187726
Jason Maxiell,CHA,14.4,0.175666094911378,0.127638650657519,0.0314465408805031,0.0165809033733562,0.094388751464653,0.0208333333333333,0.463249636854119,0.523428097115584
Ian Mahinmi,IND,18.8,0.182325991189427,0.113162995594714,0.0431718061674009,0.0259911894273128,0.142553397119938,0.0319148936170213,0.316627634660421,0.389350425243436
David Lee,GSW,18.5,0.317813163481953,0.190424628450106,0.101380042462845,0.0260084925690021,0.0818357939742134,0.0486486486486487,0.297627343620375,0.33827775012444
Brandon Bass,BOS,23.5,0.281250953470633,0.197599796592932,0.0625476735316552,0.0211034833460463,0.0750343530773125,0.0425531914893617,0.412067868504772,0.456076352067869
CJ Miles,IND,26.3,0.307113374430448,0.240643259179845,0.0469043151969981,0.0195658000536049,0.0637087202401731,0.0381679389312977,0.442285714285714,0.478246305418719
Ersan Ilyasova,MIL,22.7,0.289770762871101,0.227012401352875,0.045847425779782,0.0169109357384442,0.0583597032733309,0.0305676855895196,0.500729442970822,0.53803050397878
Monta Ellis,DAL,33.7,0.429763580581122,0.26842086266017,0.125609095831077,0.0357336220898755,0.0831471620781751,0.100890207715134,0.356159003831418,0.403572796934866
Lou Williams,TOR,25.2,0.384185816654312,0.272251050160613,0.0869780084012849,0.0249567580924141,0.0649601234885516,0.107142857142857,0.382569444444444,0.417638888888889
