Player,Team,MPG,Contest %,Rim FG% Allowed,Points Saved/GM,Points Saved/36
Al Jefferson,CHA,30.7,0.452830189,0.547,-1.407775971,-1.650812214
Kris Humphries,WAS,21,0.286885246,0.535,-1.342190421,-2.300897864
Serge Ibaka,OKC,33.1,0.402597403,0.408,1.755689782,1.909511545
Bismack Biyombo,CHA,19.4,0.459183673,0.491,-0.218551104,-0.405558749
Kelly Olynyk,BOS,22.2,0.3828125,0.535,-0.783898052,-1.27118603
Lavoy Allen,IND,16.9,0.395604396,0.485,-0.455963318,-0.971282808
Pero Antic,ATL,16.4,0.387096774,0.489,-0.363160074,-0.797180649
Shawne Williams,TOTAL,17.1,0.313131313,0.5,-0.607338491,-1.27860735
Tarik Black,TOTAL,19,0.366972477,0.553,-0.926554146,-1.755576277
Jusuf Nurkic,DEN,17.8,0.509259259,0.485,0.523274789,1.058308561
Taj Gibson,CHI,27.3,0.310559006,0.455,-0.680168192,-0.896925089
Cody Zeller,CHA,24,0.3203125,0.49,-1.112752652,-1.669128978
Ryan Anderson,NOP,27.5,0.255,0.554,-1.278842897,-1.674121611
Udonis Haslem,MIA,16.1,0.273684211,0.547,-1.024440659,-2.290674766
Ian Mahinmi,IND,18.8,0.524271845,0.455,0.711831351,1.36308131
Cole Aldrich,NYK,16.1,0.594059406,0.514,0.671908195,1.502403417
DeMarcus Cousins,SAC,33.9,0.453125,0.47,0.452140889,0.480149617
Robin Lopez,POR,27.8,0.502857143,0.48,1.123374571,1.45472966
Chris Andersen,MIA,18.7,0.531531532,0.504,0.415602296,0.800089981
Amar'e Stoudemire,TOTAL,21.3,0.479338843,0.524,-0.298424577,-0.504379567
Darrell Arthur,DEN,17.1,0.333333333,0.505,-0.680056329,-1.431697534
Jared Sullinger,BOS,27,0.333333333,0.528,-0.898028214,-1.197370952
Ersan Ilyasova,MIL,22.9,0.309859155,0.522,-0.964252083,-1.515854804
Anthony Bennett,MIN,15.8,0.262626263,0.559,-0.928489196,-2.115545004
Meyers Leonard,POR,15.4,0.397727273,0.423,0.253021987,0.591479969
Lou Amundson,TOTAL,17.7,0.460176991,0.522,0.08427859,0.171414082
Tiago Splitter,SAS,19.8,0.420168067,0.5,-0.085371372,-0.155220675
Drew Gooden,WAS,17,0.265957447,0.554,-1.387435272,-2.938098224
Kyle O'Quinn,ORL,16.2,0.512195122,0.486,0.220798483,0.490663295
David Lee,GSW,18.5,0.444444444,0.491,-0.015814623,-0.030774401
Kevin Garnett,TOTAL,20.3,0.333333333,0.519,-0.838276732,-1.486599131
Reggie Evans,SAC,16.3,0.364705882,0.601,-1.478055192,-3.264416375
Hassan Whiteside,MIA,24.2,0.597122302,0.465,1.567702526,2.33211946
Chris Bosh,MIA,35.4,0.339901478,0.553,-1.971280534,-2.004692069
Dwight Howard,HOU,29.8,0.41954023,0.457,0.26830381,0.324125408
Mirza Teletovic,BKN,22.4,0.309352518,0.526,-1.045520688,-1.680301105
Terrence Jones,HOU,27,0.373737374,0.459,0.638530539,0.851374052
Nikola Pekovic,MIN,26.2,0.380368098,0.565,-1.087583294,-1.494389259
